case,history_file,inner_iterations,Rho_initial_log10,Rho_final_log10,Rho_drop_decades,RhoU_initial_log10,RhoU_final_log10,RhoU_drop_decades,RhoV_initial_log10,RhoV_final_log10,RhoV_drop_decades,RhoE_initial_log10,RhoE_final_log10,RhoE_drop_decades,k_initial_log10,k_final_log10,k_drop_decades,w_initial_log10,w_final_log10,w_drop_decades
"CFL 0.10, 100 iter",history_npr20_urans_cal_inner100_00001.csv,100,-2.080432309,-3.870894966,1.790462657,0.5854820382,-0.73278468,1.3182667181999999,0.6418423008,-0.7848132644,1.4266555652,4.098008234,3.014405738,1.0836024960000001,2.310598233,0.1192451501,2.1913530829,7.562645001,7.638974649,-0.07632964799999975
"CFL 0.20, 200 iter",history_npr20_urans_cal_inner200_00001.csv,200,-2.080432309,-4.038067861,1.9576355520000002,0.5854820382,-0.8908323249,1.4763143631,0.6418423008,-1.013783115,1.6556254158,4.098008234,2.84423423,1.2537740039999998,2.316370113,-1.025114707,3.34148482,7.565279539,7.597696755,-0.03241721600000069
"CFL 1.00, 100 iter",history_npr20_urans_cal_cfl1_00001.csv,100,-2.080432309,-4.490161704,2.4097293950000003,0.5854820382,-1.407218617,1.9927006552000002,0.6418423008,-1.686143009,2.3279853098,4.098008234,2.416183674,1.68182456,2.340227414,-2.055711991,4.395939405,7.585867068,7.64782074,-0.06195367200000046
"CFL 1.00, 150 iter",history_npr20_urans_cal_cfl1_i150_00001.csv,150,-2.080432309,-5.017835647,2.937403338,0.5854820382,-1.822668203,2.4081502412,0.6418423008,-2.077035286,2.7188775868,4.098008234,1.897729728,2.200278506,2.340227414,-2.792757468,5.132984882000001,7.585867068,7.237628475,0.3482385929999996
