iteration,inner_iterations,history_file,rho_drop_decades,energy_drop_decades,tke_drop_decades,omega_drop_decades
77,50,history_npr20_bdf2_to100_00029.csv,3.2909243749999995,2.529028127,3.1352891394999998,-0.2232903230000005
78,50,history_npr20_bdf2_to100_00029.csv,3.285935756,2.511627891,3.1177292015,-0.25147489200000006
79,50,history_npr20_bdf2_to100_00029.csv,3.2866716370000004,2.505002893,3.0970701695000002,-0.21276998999999996
80,50,history_npr20_bdf2_to100_00029.csv,3.278831147,2.4969995720000004,3.0665957523999996,-0.20325679399999963
81,50,history_npr20_bdf2_to100_00029.csv,3.271492346,2.478527273,3.0150485362999997,-0.2526380289999999
82,50,history_npr20_bdf2_to100_00029.csv,3.265348238,2.4596727449999998,2.9597677318000004,-0.21023511500000058
83,50,history_npr20_bdf2_to100_00029.csv,2.6854093430000003,1.8274492629999997,2.7933309959,-0.16748359800000046
84,50,history_npr20_bdf2_to100_00029.csv,2.6979691079999997,1.8413210549999999,2.6828917604,-0.27232970499999976
85,50,history_npr20_bdf2_to100_00029.csv,2.7068249380000005,1.8564613200000002,2.6908418321,-0.12167710600000081
86,100,history_npr20_bdf2_cal_t86_cfl05_k0005_i100_00086.csv,3.089198508,2.3231699519999998,2.2095626834999997,0.31413173299999997
87,100,history_npr20_bdf2_stable_to100_00087.csv,3.092436666,2.3031623469999998,2.1943178073,-0.044657167999999636
88,100,history_npr20_bdf2_stable_to100_00087.csv,3.0557714270000007,2.2537971740000002,2.5534893941999997,0.24459703399999988
89,100,history_npr20_bdf2_stable_to100_00087.csv,3.022063073,2.2163200630000004,2.5029720316,0.053743965999999865
90,100,history_npr20_bdf2_stable_to100_00087.csv,2.997480737,2.194555513,2.4650185186,0.06503001699999977
91,100,history_npr20_bdf2_stable_to100_00087.csv,2.9789881289999998,2.1803544220000006,2.425510801,0.04853127500000021
92,100,history_npr20_bdf2_stable_to100_00087.csv,2.960397172,2.165926635,2.3840928811,-0.021774659000000085
93,100,history_npr20_bdf2_stable_to100_00087.csv,2.939734302,2.1530939190000002,2.35748509779,-0.10932059900000013
94,100,history_npr20_bdf2_stable_to100_00087.csv,2.9196142740000006,2.1476606140000003,2.35125117744,-0.16716984999999962
95,100,history_npr20_bdf2_stable_to100_00087.csv,2.9012509520000003,2.1470628429999996,2.35164801468,-0.06944602999999994
96,100,history_npr20_bdf2_stable_to100_00087.csv,2.8849852469999995,2.1481352599999997,2.34798080906,0.05287158799999947
97,100,history_npr20_bdf2_stable_to100_00087.csv,2.8702922,2.16645113,2.3317204821399997,0.11117110500000038
98,100,history_npr20_bdf2_stable_to100_00087.csv,2.8575820160000003,2.177898408,2.29706694262,0.09374342900000077
99,100,history_npr20_bdf2_stable_to100_00087.csv,2.8454515959999997,2.1907634920000003,2.27594681343,-0.040710581999999995
100,100,history_npr20_bdf2_stable_to100_00087.csv,2.837437457,2.190140197,2.26804768225,-0.12833669000000025
