x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5177074.0,0.9955911538461538,1656.321802643037,10632.562581531414,0.7167075
-0.0224814,0.01999803,5173671.0,0.9949367307692307,767.781375715568,4928.682043068787,0.486911
-0.02228287,0.01999211,5174605.0,0.9951163461538461,507.79759185684594,3259.746786858224,0.3951681
-0.02208451,0.01998225,5175048.0,0.9952015384615385,436.77316504172046,2803.81385056277,0.3656987
-0.02188638,0.01996846,5176136.0,0.9954107692307692,401.0335473104287,2574.387587162996,0.3496324
-0.02168856,0.01995073,5176890.0,0.9955557692307693,401.7707987772822,2579.120286054683,0.348943
-0.02149113,0.01992908,5177755.0,0.9957221153846154,412.07608126482256,2645.273832300519,0.3521516
-0.02129417,0.01990351,5178455.0,0.9958567307692308,430.35977035675756,2762.6438193290355,0.3583499
-0.02109776,0.01987403,5179072.0,0.9959753846153846,449.257563700974,2883.9559762206472,0.364372
-0.02090197,0.01984066,5179478.0,0.9960534615384615,468.88481180253336,3009.95078194624,0.3702119
-0.02070689,0.01980341,5179667.0,0.9960898076923077,487.6845207362637,3130.6332975259393,0.375304
-0.02051258,0.01976229,5179591.0,0.9960751923076923,506.1646054456208,3249.2640230713587,0.3798354
-0.02031912,0.01971732,5179244.0,0.9960084615384616,523.7535175045819,3362.1739708300192,0.3836396
-0.0201266,0.01966851,5178589.0,0.9958825,541.3205292503321,3474.943332109412,0.3870289
-0.01993509,0.0196159,5177595.0,0.9956913461538461,558.0216206831091,3582.1540200056393,0.3897326
-0.01974466,0.01955948,5176248.0,0.9954323076923077,574.6476112097704,3688.882606487196,0.3920166
-0.01955538,0.0194993,5174564.0,0.9951084615384616,591.1723121985859,3794.960976719542,0.3939132
-0.01936734,0.01943538,5172587.0,0.9947282692307692,607.6428901698622,3900.6919106202713,0.3953815
-0.01918061,0.01936772,5170365.0,0.9943009615384616,625.3965568042735,4014.6594809564244,0.3969108
-0.01899525,0.01929638,5167933.0,0.9938332692307692,643.6593811592743,4131.895529265516,0.3981899
-0.01881135,0.01922136,5165322.0,0.9933311538461539,662.298087441891,4251.544507303763,0.399197
-0.01862898,0.01914271,5162557.0,0.992799423076923,681.1315670133889,4372.443809512068,0.3998559
-0.0184482,0.01906045,5159668.0,0.9922438461538462,699.1882354732747,4488.35646435205,0.399893
-0.01826909,0.01897463,5156665.0,0.9916663461538462,715.7708596759671,4594.806665828474,0.3991608
-0.01809173,0.01888525,5153524.0,0.9910623076923077,731.3928585102975,4695.090245981543,0.3977497
-0.01791617,0.01879238,5150160.0,0.9904153846153846,752.8291026271315,4832.697688400957,0.397501
-0.01774245,0.01869611,5146498.0,0.9897111538461538,801.744026459019,5146.701276341092,0.4045908
-0.01757033,0.01859701,5142197.0,0.9888840384615385,908.8323666734693,5834.142253852551,0.4284924
-0.01739833,0.01849767,5138108.0,0.9880976923076923,941.4095939906045,6043.267924739384,0.4341489
-0.01722634,0.01839834,5134528.0,0.9874092307692308,945.8995551769555,6072.090701343752,0.4331589
-0.01705434,0.01829904,5131171.0,0.9867636538461538,940.9975576187486,6040.622905816954,0.4298387
-0.01688233,0.01819973,5128011.0,0.9861559615384615,935.4357495475917,6004.919534474093,0.4263164
-0.01671032,0.01810043,5124990.0,0.985575,932.4665831057895,5985.859320476385,0.4234149
-0.01653832,0.01800113,5122087.0,0.9850167307692308,932.3765566562316,5985.281406294859,0.4212328
-0.01636631,0.01790182,5119266.0,0.9844742307692308,934.8974695792169,6001.464109664133,0.4197006
-0.0161943,0.01780252,5116505.0,0.9839432692307692,939.3812197560826,6030.2470154252005,0.4186468
-0.01602229,0.01770322,5113784.0,0.98342,945.4857752234918,6069.434489704707,0.4179709
-0.01585028,0.01760391,5111091.0,0.9829021153846154,953.0067739040356,6117.714654234866,0.4176105
-0.01567828,0.01750461,5108412.0,0.9823869230769231,961.7179835420709,6173.63523771656,0.4175022
-0.01550627,0.01740531,5105740.0,0.9818730769230769,971.4003038816481,6235.789751882052,0.4175866
-0.01533426,0.017306,5103067.0,0.9813590384615385,981.8832533464093,6303.083810346563,0.4178164
-0.01516226,0.0172067,5100382.0,0.9808426923076923,993.160367645874,6375.475916359299,0.4181817
-0.01499025,0.01710739,5097675.0,0.9803221153846153,1005.3339569754208,6453.622838160199,0.4186983
-0.01481824,0.01700808,5094937.0,0.979795576923077,1018.5126387830996,6538.221832654285,0.4193856
-0.01464624,0.01690878,5092161.0,0.9792617307692307,1032.562827339639,6628.415361998242,0.4202084
-0.01447423,0.01680947,5089340.0,0.9787192307692307,1047.3942918289251,6723.624200103528,0.4211381
-0.01430223,0.01671017,5086467.0,0.9781667307692308,1063.189651442071,6825.02064934218,0.4222051
-0.01413022,0.01661086,5083529.0,0.9776017307692307,1080.0688450789405,6933.374643344685,0.4234277
-0.01395821,0.01651156,5080513.0,0.9770217307692308,1097.970388181294,7048.291489236604,0.4247867
-0.0137862,0.01641226,5077408.0,0.9764246153846153,1116.8333026307425,7169.379745174427,0.4262629
-0.0136142,0.01631295,5074199.0,0.9758075,1136.6749782918944,7296.751043344261,0.4278531
-0.01344219,0.01621365,5070875.0,0.9751682692307693,1157.5066867058213,7430.477740075445,0.4295537
-0.01327018,0.01611434,5067420.0,0.9745038461538461,1179.2514013436758,7570.065372645152,0.4313436
-0.01309817,0.01601504,5063823.0,0.9738121153846154,1201.814261277147,7714.90499250534,0.4331972
-0.01292617,0.01591574,5060066.0,0.9730896153846154,1225.287868714154,7865.591048614732,0.4351253
-0.01275416,0.01581644,5056135.0,0.9723336538461539,1249.7779887916222,8022.802487803292,0.4371429
-0.01258215,0.01571713,5052013.0,0.9715409615384616,1275.1894447123611,8185.9283338399355,0.4392275
-0.01241015,0.01561783,5047688.0,0.9707092307692308,1301.4367204758248,8354.419626838922,0.4413579
-0.01223814,0.01551852,5043147.0,0.9698359615384615,1328.5408926198998,8528.411665150928,0.4435321
-0.01206613,0.01541922,5038377.0,0.9689186538461538,1356.5656853126843,8708.313518561896,0.4457561
-0.01189412,0.01531992,5033367.0,0.9679551923076923,1385.5177993553664,8894.168202075227,0.4480255
-0.01172212,0.01522061,5028104.0,0.9669430769230769,1415.3580945788174,9085.724459988649,0.4503265
-0.01155011,0.01512131,5022575.0,0.9658798076923077,1446.2419844797885,9283.979950925981,0.4526785
-0.0113781,0.015022,5016766.0,0.9647626923076923,1478.4156196576614,9490.514809646198,0.4551176
-0.0112061,0.01492269,5010670.0,0.9635903846153846,1511.7608298424457,9704.570456029818,0.4576196
-0.01103409,0.01482339,5004277.0,0.9623609615384615,1546.0348263551462,9924.588336769515,0.4601375
-0.01086209,0.01472408,4997579.0,0.9610728846153846,1581.4121450754312,10151.68886437229,0.4626903
-0.01069008,0.01462478,4990565.0,0.9597240384615384,1618.1625331866376,10387.603649086492,0.465312
-0.01051807,0.01452547,4983225.0,0.9583125,1656.373870864326,10632.8968273407,0.4680086
-0.01034606,0.01442617,4975551.0,0.9568367307692308,1695.9835432636983,10887.166450519144,0.4707628
-0.01017406,0.01432687,4967533.0,0.9552948076923077,1737.0879193847998,11151.031148058602,0.4735796
-0.01000205,0.01422756,4959164.0,0.9536853846153847,1779.8667181448152,11425.64460436449,0.4764765
-0.009830044,0.01412826,4950436.0,0.952006923076923,1824.3606876545855,11711.268397131373,0.4794499
-0.009658036,0.01402896,4941341.0,0.9502578846153846,1870.5482303135861,12007.76388310839,0.482485
-0.009486028,0.01392965,4931869.0,0.9484363461538462,1918.6208925691035,12316.36067213633,0.4855962
-0.00931402,0.01383035,4922008.0,0.94654,1968.961856788861,12639.518558259117,0.4888224
-0.009142013,0.01373105,4911745.0,0.9445663461538462,2021.6931041861721,12978.020585497696,0.4921675
-0.008970006,0.01363174,4901066.0,0.9425126923076923,2076.8235075216658,13331.923711493095,0.4956188
-0.008797999,0.01353244,4889956.0,0.9403761538461538,2134.5190615908546,13702.29352026931,0.4991811
-0.008625992,0.01343313,4878395.0,0.9381528846153846,2195.1282062029713,14091.366780111139,0.5028808
-0.008453985,0.01333383,4866359.0,0.9358382692307692,2258.9445740709007,14501.028431608473,0.5067345
-0.008281978,0.01323453,4853820.0,0.9334269230769231,2326.1286085118454,14932.308421724654,0.5107394
-0.008109971,0.01313522,4840742.0,0.930911923076923,2397.1643063713304,15388.313711160858,0.514927
-0.007937965,0.01303592,4827078.0,0.9282842307692307,2472.7731149361393,15873.675545737648,0.5193535
-0.00776596,0.01293661,4812780.0,0.9255346153846153,2553.4401606462156,16391.50813745442,0.524045
-0.007593954,0.0128373,4797790.0,0.9226519230769231,2639.210748258437,16942.102314857886,0.528972
-0.007421947,0.012738,4782031.0,0.9196213461538462,2730.7801803557586,17529.921490924055,0.5341669
-0.00724994,0.01263869,4765391.0,0.9164213461538462,2829.5229866204672,18163.789296932653,0.5397237
-0.007077933,0.01253939,4747726.0,0.9130242307692308,2936.8742528819957,18852.918097212256,0.5457306
-0.006905926,0.01244008,4728862.0,0.9093965384615385,3054.1327282231077,19605.645058416198,0.5522464
-0.006733919,0.01234078,4708597.0,0.9054994230769231,3182.7171785154887,20431.077780827934,0.5593261
-0.006561911,0.01224148,4686710.0,0.9012903846153846,3324.01383637797,21338.11502134891,0.5670041
-0.006389903,0.01214218,4662965.0,0.8967240384615385,3480.0205190492484,22339.581532260356,0.5753528
-0.006217895,0.01204287,4637107.0,0.8917513461538461,3653.381596091096,23452.452532272415,0.584479
-0.006045888,0.01194357,4608831.0,0.8863136538461538,3846.6299065059643,24692.987282815768,0.5944494
-0.005873881,0.01184426,4577720.0,0.8803307692307693,4055.562970893878,26034.208462728227,0.6047144
-0.005701897,0.01174492,4543121.0,0.8736771153846153,4318.156874539897,27719.899075258705,0.6180789
-0.005529897,0.01164561,4504570.0,0.8662634615384616,4621.054924677129,29664.31740554258,0.6332401
-0.005357828,0.01154641,4460123.0,0.8577159615384615,4942.349315457813,31726.828876211708,0.6479559
-0.00518574,0.01144724,4408407.0,0.8477705769230769,5360.3708151845185,34410.26862154223,0.6672597
-0.005013605,0.01134816,4345592.0,0.8356907692307692,6006.281758489479,38556.61778861051,0.6984011
-0.004841241,0.01124947,4264168.0,0.8200323076923077,7169.484950394203,46023.663572363635,0.7637506
-0.0046663,0.01115547,4184811.0,0.8047713461538462,7045.621835387185,45228.538905312824,0.7535731
-0.004489727,0.01106455,4116692.0,0.7916715384615385,7123.016729245482,45725.36630390541,0.7558313
-0.004311381,0.01097714,4045569.0,0.7779940384615385,7319.120184970344,46984.22932323049,0.7638109
-0.004131335,0.0108933,3975008.0,0.7644246153846154,7494.170191353236,48107.9422060734,0.77033
-0.003949659,0.01081305,3903932.0,0.7507561538461538,7701.996399426547,49442.058052339344,0.7780085
-0.003766427,0.01073641,3832116.0,0.7369453846153846,7933.692085489386,50929.40119906535,0.7862483
-0.003581707,0.01066344,3759384.0,0.7229584615384615,8185.254752765626,52544.2780899711,0.7946671
-0.003395578,0.01059414,3685567.0,0.7087628846153846,8456.767215000098,54287.220338130275,0.8032106
-0.003208104,0.01052857,3610603.0,0.6943467307692308,8733.105582486378,56061.141916224304,0.8110366
-0.003019367,0.01046672,3534550.0,0.6797211538461538,9011.662776582854,57849.30699020957,0.8180407
-0.00282944,0.01040864,3457267.0,0.6648590384615385,9285.555598307072,59607.529675540354,0.8238904
-0.002638397,0.01035433,3378800.0,0.6497692307692308,9549.658176861632,61302.90504881881,0.8284047
-0.002446311,0.01030384,3299288.0,0.6344784615384615,9797.236339762301,62892.20388353882,0.8313189
-0.002253261,0.01025717,3218882.0,0.6190157692307693,10032.032506487256,64399.450200421845,0.8328588
-0.002059324,0.01021433,3137505.0,0.6033663461538461,10257.022983056298,65843.750045145,0.8331857
-0.001864573,0.01017537,3055307.0,0.5875590384615385,10465.368549074961,67181.19984852445,0.8320546
-0.001669086,0.01014028,2972549.0,0.5716440384615384,10658.566856496818,68421.41361074802,0.8295886
-0.001472941,0.01010907,2889243.0,0.5556236538461539,10842.195124514263,69600.19363303484,0.8260477
-0.001276215,0.01008177,2805470.0,0.5395134615384616,11010.710268659244,70681.95673800523,0.8212416
-0.001078986,0.01005838,2721396.0,0.5233453846153846,11166.194493319455,71680.06939129673,0.8153111
-0.000881331,0.01003892,2637212.0,0.5071561538461539,11303.161100461306,72559.31038159938,0.8080937
-0.0006833288,0.01002337,2552921.0,0.49094634615384614,11441.109150541744,73444.8516291637,0.800329
-0.0004850564,0.01001177,2467851.0,0.47458673076923075,11598.829798472852,74457.32073803566,0.7925334
-0.0002865932,0.0100041,2379585.0,0.4576125,11911.13468389374,76462.12513863995,0.7887668
-8.801603e-05,0.01000044,2278182.0,0.4381119230769231,12682.845409394433,81416.03117950216,0.7965516
0.0001105874,0.01000122,2139931.0,0.4115251923076923,13951.886990059089,89562.49402473615,0.8102571
0.0003090139,0.01000956,1974574.0,0.37972576923076923,14561.376878717458,93475.04252444781,0.7961112
0.0005069526,0.01002577,1813974.0,0.34884115384615383,14598.365121764218,93712.48419088486,0.764314
0.0007040912,0.01004983,1661750.0,0.3195673076923077,14466.570115734216,92866.44168434344,0.7276772
0.0009001194,0.01008169,1518809.0,0.29207865384615384,14245.539560188536,91447.56208587415,0.6890264
0.00109473,0.01012131,1384669.0,0.2662825,13967.925858416684,89665.45364965744,0.6494681
0.001287609,0.01016864,1259075.0,0.24212980769230769,13640.634379244599,87564.4445769361,0.6093602
0.001478459,0.01022358,1141819.0,0.21958057692307692,13276.574643847178,85227.40601724802,0.569474
0.001666972,0.01028606,1032633.0,0.19858326923076924,12889.36969486954,82741.78948710645,0.5300116
0.001852859,0.01035598,931004.4,0.1790393076923077,12472.020869885533,80062.66789799857,0.491343
0.002035822,0.01043323,837135.1,0.16098751923076923,12041.378049573608,77298.20707284541,0.4536284
0.002215573,0.01051768,750175.9,0.14426459615384615,11592.25894072934,74415.13989125773,0.4173573
0.00239183,0.0106092,670458.7,0.12893436538461536,11203.021172514449,71916.47391763088,0.3834165
0.002564312,0.01070765,595345.2,0.11448946153846153,10730.018720054752,68880.09042683199,0.349672
0.00273275,0.01081287,534803.1,0.10284675,9916.345100006476,63656.808530585025,0.3142112
0.00288784,0.01091664,504614.5,0.09704125,7960.633432233001,51102.347998911326,0.2706536
0.003052613,0.01102754,493364.1,0.09487771153846153,6917.123817238989,44403.66102386294,0.250846
0.003217482,0.01113829,486453.1,0.09354867307692308,6403.493695345178,41106.47299791232,0.2413854
0.003382505,0.01124881,481223.1,0.09254290384615384,6132.385873362101,39366.12829015206,0.2366785
0.00354765,0.01135915,476740.7,0.09168090384615385,5964.692705841999,38289.64176723875,0.2339714
0.003712912,0.01146931,472737.1,0.09091098076923076,5862.579410987834,37634.13750700939,0.2325645
0.003878293,0.0115793,469041.2,0.09020023076923077,5801.893477421218,37244.571309525265,0.2319457
0.004043788,0.01168911,465544.6,0.08952780769230768,5764.960010871648,37007.48127435543,0.2317383
0.004209402,0.01179875,462152.9,0.08887555769230769,5739.6858051204235,36845.236489604315,0.2316907
0.004375132,0.0119082,458807.9,0.08823228846153847,5718.5750038021515,36709.71818887035,0.2316567
0.004540979,0.01201749,455471.8,0.08759073076923077,5697.778753657133,36576.21911231696,0.2315688
0.004706934,0.01212659,452130.0,0.08694807692307692,5675.883478557743,36435.664974610976,0.2314113
0.00487301,0.01223552,448780.2,0.08630388461538462,5653.418494736939,36291.4536589194,0.2312057
0.005039213,0.01234428,445421.6,0.085658,5631.320593792418,36149.598788484094,0.2309768
0.005205522,0.01245286,442056.9,0.08501094230769231,5609.596233254505,36010.14181665983,0.2307282
0.005371942,0.01256126,438693.3,0.08436409615384616,5587.697067339578,35869.56270232212,0.2304532
0.005538476,0.01266949,435339.7,0.08371917307692307,5565.392882625423,35726.3836175423,0.2301524
0.005705118,0.01277754,431997.9,0.08307651923076924,5543.492398476606,35585.79604095751,0.2298454
0.005871883,0.01288542,428658.9,0.08243440384615384,5522.66027669502,35452.06669066136,0.2295431
0.006038761,0.01299313,425319.8,0.08179226923076922,5502.194761405302,35320.690727527886,0.2292279
0.006205752,0.01310066,421986.1,0.08115117307692307,5481.249157627126,35186.23289293074,0.2288836
0.006372854,0.01320802,418658.6,0.08051126923076922,5460.215395240373,35051.209134537086,0.2285196
0.006540067,0.0133152,415334.4,0.079872,5439.159170999498,34916.041184918475,0.228136
0.006707388,0.01342221,412014.4,0.07923353846153847,5417.43850382649,34776.60792221488,0.2277185
0.006874819,0.01352905,408699.3,0.07859601923076923,5394.988888669431,34632.49526384871,0.227267
0.007042362,0.01363571,405384.2,0.0779585,5372.528784652334,34488.31527348186,0.2267953
0.007210017,0.0137422,402065.5,0.07732028846153846,5350.158817748226,34344.71390768738,0.2263019
0.007377782,0.01384851,398755.0,0.07668365384615385,5326.746026880042,34194.4182563731,0.2257624
0.007545654,0.01395465,395479.0,0.07605365384615384,5301.458992026682,34032.09111671299,0.2251655
0.007713635,0.01406063,392258.6,0.07543434615384614,5275.439165598954,33865.05990791532,0.2245424
