x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5174121.0,0.9950232692307692,2049.8540945953273,13158.796744095287,0.7969036
-0.0224814,0.01999803,5175757.0,0.9953378846153846,890.0519904748239,5713.583842486982,0.5238487
-0.02228287,0.01999211,5178457.0,0.9958571153846154,794.2506019601975,5098.598121020332,0.4960985
-0.02208451,0.01998225,5180711.0,0.9962905769230769,850.4862047222048,5459.595944464455,0.512153
-0.02188638,0.01996846,5182788.0,0.99669,911.2884093695162,5849.908530446242,0.5298658
-0.02168856,0.01995073,5184777.0,0.9970725,952.0521557646126,6111.586595609614,0.5389611
-0.02149113,0.01992908,5186766.0,0.997455,973.5481587699782,6249.57765317018,0.5437732
-0.02129417,0.01990351,5188766.0,0.9978396153846154,989.583408318542,6352.514047573438,0.5449271
-0.02109776,0.01987403,5190803.0,0.9982313461538461,1001.0308808880924,6425.9997484208725,0.5462334
-0.02090197,0.01984066,5192872.0,0.9986292307692308,1012.2808483514692,6498.217588519138,0.5454349
-0.02070689,0.01980341,5194962.0,0.9990311538461538,1022.8545975207502,6566.094524984259,0.5458644
-0.02051258,0.01976229,5197006.0,0.9994242307692308,1036.7570668151573,6655.3397879366175,0.5451531
-0.02031912,0.01971732,5198961.0,0.9998001923076923,1047.2535744747438,6722.720881634706,0.5449057
-0.0201266,0.01966851,5200783.0,1.000150576923077,1063.142529847739,6824.718157821586,0.5440549
-0.01993509,0.0196159,5202484.0,1.0004776923076923,1075.0948239159081,6901.444500776128,0.5435072
-0.01974466,0.01955948,5204102.0,1.0007888461538461,1091.4830789675984,7006.646972397971,0.5421001
-0.01955538,0.0194993,5205701.0,1.0010963461538462,1107.3134941278784,7108.268456589455,0.5417732
-0.01936734,0.01943538,5207316.0,1.0014069230769231,1122.140373869488,7203.447863447435,0.5392761
-0.01918061,0.01936772,5208967.0,1.001724423076923,1140.2721397803875,7319.842597522469,0.5387786
-0.01899525,0.01929638,5210589.0,1.0020363461538462,1159.666162603148,7444.34024106106,0.5366908
-0.01881135,0.01922136,5212125.0,1.0023317307692308,1178.5914534511599,7565.8289149371585,0.5355882
-0.01862898,0.01914271,5213482.0,1.0025926923076922,1203.2248592151361,7723.9601597011815,0.533912
-0.0184482,0.01906045,5214595.0,1.0028067307692308,1227.3256873424866,7878.672585101774,0.5331094
-0.01826909,0.01897463,5215359.0,1.0029536538461539,1248.3455772557327,8013.607290786897,0.5299154
-0.01809173,0.01888525,5215658.0,1.003011153846154,1256.6887201846855,8067.165113413633,0.5228258
-0.01791617,0.01879238,5215303.0,1.0029428846153847,1233.9610328904594,7921.267403739268,0.5115134
-0.01774245,0.01869611,5214266.0,1.0027434615384616,1241.3464517759605,7968.677229755933,0.5079886
-0.01757033,0.01859701,5212479.0,1.0023998076923077,1620.9928318610926,10405.772417820048,0.576685
-0.01739833,0.01849767,5210119.0,1.0019459615384616,1582.202071537006,10156.759704183794,0.5653918
-0.01722634,0.01839834,5208230.0,1.0015826923076923,1508.92300417941,9686.353368680275,0.5485349
-0.01705434,0.01829904,5206542.0,1.001258076923077,1470.73594870658,9441.216067178011,0.5386072
-0.01688233,0.01819973,5204932.0,1.0009484615384616,1471.531730999012,9446.324497805475,0.5361512
-0.01671032,0.01810043,5203266.0,1.0006280769230769,1486.2882177008828,9541.052024842074,0.5363411
-0.01653832,0.01800113,5201471.0,1.0002828846153846,1504.3502787249201,9656.999296612006,0.5371181
-0.01636631,0.01790182,5199510.0,0.9999057692307692,1523.104216466126,9777.387989416342,0.5379733
-0.0161943,0.01780252,5197367.0,0.9994936538461539,1542.7060100138901,9903.219392634173,0.5389191
-0.01602229,0.01770322,5195033.0,0.9990448076923077,1563.8848036464435,10039.174162015419,0.5400738
-0.01585028,0.01760391,5192498.0,0.9985573076923077,1587.1211020790822,10188.336840942864,0.5415127
-0.01567828,0.01750461,5189758.0,0.9980303846153846,1612.0715242745484,10348.503135322133,0.5431675
-0.01550627,0.01740531,5186812.0,0.9974638461538462,1638.3871952231884,10517.433483150624,0.5449703
-0.01533426,0.017306,5183658.0,0.9968573076923077,1665.6688346935798,10692.564752045857,0.5468459
-0.01516226,0.0172067,5180291.0,0.9962098076923077,1693.9311538235638,10873.991378423201,0.54879
-0.01499025,0.01710739,5176693.0,0.9955178846153846,1723.4576465110138,11063.533217944649,0.5508442
-0.01481824,0.01700808,5172844.0,0.9947776923076923,1754.638091647044,11263.692410258496,0.5530679
-0.01464624,0.01690878,5168718.0,0.9939842307692308,1786.5198123980383,11468.3533587233,0.5553025
-0.01447423,0.01680947,5164295.0,0.9931336538461538,1818.3162437290669,11672.46680180969,0.5574186
-0.01430223,0.01671017,5159558.0,0.9922226923076923,1850.6129162045236,11879.791483959349,0.5595055
-0.01413022,0.01661086,5154497.0,0.9912494230769231,1883.6844434206046,12092.09025478437,0.5616052
-0.01395821,0.01651156,5149112.0,0.9902138461538461,1917.1040703206083,12306.623610499848,0.5636518
-0.0137862,0.01641226,5143409.0,0.9891171153846153,1950.5807332020063,12521.523101975059,0.5656024
-0.0136142,0.01631295,5137402.0,0.9879619230769231,1984.2328087579722,12737.54863443878,0.5674765
-0.01344219,0.01621365,5131108.0,0.9867515384615385,2018.223148837463,12955.745616140051,0.569299
-0.01327018,0.01611434,5124546.0,0.9854896153846154,2052.295536219391,13174.469290828412,0.5710345
-0.01309817,0.01601504,5117737.0,0.9841801923076923,2085.9917731640326,13390.778312121434,0.5726184
