"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
878, 8.646787938103304e-02, 4.641710885323846e-02, 4.139255958333923e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.979974081786096e+05, 0.000000000000000e+00
879, 8.621173936428897e-02, 4.634987550353096e-02, 4.151595984691855e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.988765690329752e+05, 0.000000000000000e+00
880, 8.595564134462079e-02, 4.628247414138675e-02, 4.164024119897351e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.997619207090586e+05, 0.000000000000000e+00
881, 8.569958262473214e-02, 4.621490905132426e-02, 4.176541330540802e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.006535223416263e+05, 0.000000000000000e+00
882, 8.544357275933580e-02, 4.614718526827623e-02, 4.189144456760266e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.015512168823342e+05, 0.000000000000000e+00
883, 8.518760283811352e-02, 4.607929735462257e-02, 4.201833306350822e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.024550202206907e+05, 0.000000000000000e+00
884, 8.493167668354026e-02, 4.601124357469701e-02, 4.214610105418647e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.033650598279962e+05, 0.000000000000000e+00
885, 8.467579589238843e-02, 4.594302453889829e-02, 4.227476200358776e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.042814270433605e+05, 0.000000000000000e+00
886, 8.441995464831203e-02, 4.587463746580012e-02, 4.240432270412980e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.052041777135615e+05, 0.000000000000000e+00
887, 8.416416424964444e-02, 4.580608419168913e-02, 4.253479710509716e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.061333878198658e+05, 0.000000000000000e+00
888, 8.390841845037626e-02, 4.573736412528132e-02, 4.266620241349108e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.070691659339087e+05, 0.000000000000000e+00
889, 8.365271505371490e-02, 4.566847764548686e-02, 4.279853840860971e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.080115275267602e+05, 0.000000000000000e+00
890, 8.339705766988741e-02, 4.559942495700483e-02, 4.293181285837922e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.089605231383643e+05, 0.000000000000000e+00
891, 8.314144428826876e-02, 4.553020620870837e-02, 4.306603734324936e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.099162274098098e+05, 0.000000000000000e+00
892, 8.288587571150696e-02, 4.546082207946468e-02, 4.320120599064575e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.108786334223514e+05, 0.000000000000000e+00
893, 8.263035389989053e-02, 4.539127019245805e-02, 4.333731841731443e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.118477587800181e+05, 0.000000000000000e+00
