case_id,geometry_id,chamber_pressure_pa,of_ratio,back_pressure_pa,area_ratio,throat_radius_m,divergent_length_m,wall_temperature_k,chemistry_model,turbulence_model,separated,x_sep_m,x_reattach_m,shock_x_m,converged,pressure_chamber_bar,pressure_throat_bar,pressure_exit_bar,temperature_chamber_k,temperature_throat_k,temperature_exit_k,mach_chamber,mach_throat,mach_exit,density_chamber,density_throat,density_exit,cp_chamber,cp_throat,cp_exit,gamma_chamber,gamma_throat,gamma_exit,molecular_weight_chamber,molecular_weight_throat,molecular_weight_exit,sound_speed_chamber,sound_speed_throat,sound_speed_exit
case_0015,bell_0015,28482536.32234569,3.3490490191787576,79033.35920798313,35.51926152546939,0.022251898450095484,0.22557708633835216,503.2972166542482,CEA_equilibrium,SST,,,,,,284.8254,164.4118,0.7939,3726.35,3527.35,1774.32,0.0,1.0,3.9304,20.15,12.43,0.1251,5.702,5.4787,2.1607,1.1386,1.1362,1.1988,21.9149,22.1672,23.2548,1268.73,1226.06,872.07
case_0016,bell_0016,24915910.94875614,3.752511508792521,34383.01815804537,41.15863851518576,0.02661902649993359,0.29906098491076366,702.2679686242647,CEA_equilibrium,SST,,,,,,249.1591,144.1751,0.6663,3741.41,3555.47,2111.57,0.0,1.0,3.8206,18.38,11.33,0.09626,6.3112,6.2924,2.4779,1.1333,1.1295,1.1636,22.948,23.2373,25.3665,1239.45,1198.7,897.42
case_0017,bell_0017,23035948.90738466,3.5348662042954886,87440.0216191047,41.9315123667178,0.022613383549614355,0.34133668229729347,843.9862560815004,CEA_equilibrium,SST,,,,,,230.3595,133.2064,0.558,3722.25,3533.67,1895.24,0.0,1.0,3.9309,16.66,10.27,0.08585,6.2188,6.1197,2.1694,1.1347,1.1313,1.1894,22.3781,22.6549,24.2441,1252.72,1211.28,879.26
case_0018,bell_0018,22001321.149934318,3.2691881726244483,45297.86197857009,49.557677965241986,0.034886121470275824,0.24943107329692626,872.068229488408,CEA_equilibrium,SST,,,,,,220.0132,126.956,0.3927,3677.95,3480.1,1588.17,0.0,1.0,4.1883,15.54,9.586,0.06789,5.7048,5.421,2.1414,1.139,1.1371,1.2051,21.6019,21.8486,22.8291,1269.81,1227.16,834.89
case_0019,bell_0019,25142728.02661183,3.3557232833777375,73060.04213557948,25.195820682603465,0.018034602400934397,0.2236548257532942,876.9196041387471,CEA_equilibrium,SST,,,,,,251.4273,145.1786,1.096,3711.77,3515.5,1917.62,0.0,1.0,3.6927,17.84,11.0,0.1601,5.8208,5.6032,2.2076,1.1378,1.1353,1.1943,21.9007,22.1567,23.2873,1266.24,1223.82,904.28
case_0020,bell_0020,21354115.653595887,3.524370843542613,25386.388150938878,23.545842657683465,0.01959969315584057,0.1971226435661616,593.3181828002753,CEA_equilibrium,SST,,,,,,213.5412,123.4897,1.0787,3711.22,3523.7,2115.42,0.0,1.0,3.5693,15.45,9.528,0.1482,6.2675,6.1631,2.3395,1.1345,1.1311,1.1785,22.3275,22.6048,24.1688,1252.16,1210.8,926.07
case_0021,bell_0021,21567817.993580274,3.9784427418003987,54048.34416869687,33.3699396403795,0.02856309401789777,0.16876061742394707,644.3422153587669,CEA_equilibrium,SST,,,,,,215.6782,124.8702,0.7738,3716.44,3534.81,2266.8,0.0,1.0,3.7027,16.34,10.07,0.1071,6.3876,6.3918,4.0402,1.1318,1.1279,1.1213,23.408,23.7071,26.0827,1222.32,1182.51,900.14
case_0022,bell_0022,22279430.085632004,3.4216867379419837,20509.995495389485,37.287402100797124,0.024930812481179527,0.30280255234207454,629.4879797978158,CEA_equilibrium,SST,,,,,,222.7943,128.7472,0.6026,3706.16,3514.79,1831.38,0.0,1.0,3.9136,15.95,9.835,0.09357,6.0648,5.8959,2.1643,1.1361,1.1331,1.195,22.058,22.3246,23.6417,1259.8,1217.91,877.29
case_0023,bell_0023,25778295.707700927,3.8918243129337826,70319.77218449509,27.24444000676536,0.01886076308540262,0.23466903373480985,569.7167669767948,CEA_equilibrium,SST,,,,,,257.783,149.1964,1.1748,3744.39,3559.3,2315.08,0.0,1.0,3.6011,19.27,11.88,0.1575,6.2823,6.2833,3.9423,1.1328,1.1289,1.1241,23.2781,23.5722,25.7991,1230.84,1190.49,915.8
case_0024,bell_0024,28753157.539306168,3.439303986593557,48031.2850343657,43.929625104120774,0.020389444334685536,0.274860505949455,833.594783901472,CEA_equilibrium,SST,,,,,,287.5316,166.103,0.6297,3741.8,3546.33,1778.81,0.0,1.0,4.0263,20.5,12.64,0.1011,5.889,5.7303,2.1406,1.137,1.134,1.1962,22.181,22.4444,23.7372,1262.83,1220.59,863.33
case_0025,bell_0025,29166461.262207527,3.7045723180164245,93670.31414092043,44.96559499092274,0.030562190156944308,0.2815503820651329,754.5764709667887,CEA_equilibrium,SST,,,,,,291.6646,168.7104,0.6826,3762.58,3573.34,2028.02,0.0,1.0,3.897,21.33,13.16,0.1018,6.1742,6.1432,2.2613,1.1342,1.1305,1.1764,22.8827,23.1671,25.1377,1245.23,1204.06,888.33
case_0026,bell_0026,27744566.213358823,3.82489424140841,59196.11942374113,34.24628807076981,0.029313755523863727,0.31894362023111406,617.562455846259,CEA_equilibrium,SST,,,,,,277.4457,160.543,0.9466,3756.01,3569.12,2225.0,0.0,1.0,3.7195,20.57,12.68,0.1313,6.2357,6.2297,3.118,1.1333,1.1295,1.1403,23.1511,23.4418,25.6585,1236.43,1195.75,906.73
case_0027,bell_0027,20854060.932077337,3.2450311355075088,75686.61859215754,21.044840577457897,0.027766065716311718,0.31102876134327984,785.8793582598639,CEA_equilibrium,SST,,,,,,208.5406,120.3141,1.1138,3665.86,3467.76,1888.24,0.0,1.0,3.613,14.72,9.079,0.161,5.679,5.3764,2.2226,1.1393,1.1376,1.1985,21.5125,21.7567,22.6965,1270.52,1227.83,910.5
case_0028,bell_0028,26512765.062981926,3.8467422601631034,81417.84747529952,36.3700922001582,0.033765899669545435,0.2661764281202147,609.8787502936915,CEA_equilibrium,SST,,,,,,265.1277,153.4309,0.8446,3749.36,3563.42,2217.96,0.0,1.0,3.7498,19.72,12.16,0.1179,6.2687,6.2654,3.2373,1.133,1.1292,1.1369,23.1862,23.4784,25.7537,1234.25,1193.72,902.26
case_0029,bell_0029,26069958.941786736,3.6384801799988438,101312.08493527106,48.282188510510615,0.023657899829408174,0.34419620061909145,693.6801269923644,CEA_equilibrium,SST,,,,,,260.6996,150.7907,0.5463,3745.14,3556.68,1939.47,0.0,1.0,3.9695,18.99,11.71,0.084,6.2226,6.1701,2.1807,1.1342,1.1306,1.1843,22.6838,22.9661,24.7947,1247.81,1206.57,877.62
case_0030,bell_0030,25537804.025609076,3.6707260225069622,31509.217526660446,30.246389443951543,0.020962101439253165,0.2796140244012061,808.4361543476482,CEA_equilibrium,SST,,,,,,255.378,147.734,0.9782,3743.44,3555.89,2150.97,0.0,1.0,3.6727,18.67,11.51,0.1364,6.2598,6.2187,2.4463,1.1339,1.1302,1.1677,22.7578,23.0425,24.9337,1245.31,1204.23,915.18
case_0031,bell_0031,27280430.663632333,3.2763345646070188,85612.1464871965,27.56684172441272,0.03214042512580556,0.15814870265515957,586.294702811888,CEA_equilibrium,SST,,,,,,272.8043,157.3582,1.0301,3705.83,3503.97,1804.44,0.0,1.0,3.7919,19.2,11.84,0.157,5.5451,5.267,2.1866,1.14,1.1382,1.2,21.6801,21.9226,22.8657,1272.86,1229.86,887.35
case_0032,bell_0032,24141022.713503975,3.2169991880626303,56031.04401385409,26.29855239592451,0.03117867601009664,0.20518602049153656,664.2339319617915,CEA_equilibrium,SST,,,,,,241.4102,139.178,0.954,3676.28,3473.44,1770.16,0.0,1.0,3.7814,16.95,10.46,0.1462,5.4682,5.1457,2.1933,1.1409,1.1396,1.2026,21.4598,21.6956,22.5489,1274.77,1231.64,885.96
