level,cells,points,axial_cells,radial_cells,core_layers,boundary_layer_layers,first_cell_height_m,boundary_layer_block_thickness_m,boundary_layer_growth_ratio,area_ratio,minimum_signed_area_m2,negative_or_zero_cells,minimum_corner_angle_deg,maximum_corner_angle_deg,median_aspect_ratio,maximum_aspect_ratio,minimum_wall_orthogonality_deg,median_wall_orthogonality_deg
coarse,102400,103329,800,128,80,48,1e-06,0.0015,1.1129970819588384,30.000004655075998,8.333786948558679e-11,0,51.12369318266868,128.90000772159473,2.22891390894752,269.4869209554807,89.43085951345523,89.9809786051537
medium,320000,321801,1600,200,128,72,5e-07,0.0015,1.0789588566135753,30.000004655075998,2.083400133953365e-11,0,51.11403070074274,128.89857383222622,2.5657675153388846,269.5420962515344,89.65881841503969,89.99049979859247
fine,947200,950697,3200,296,192,104,2.5e-07,0.0015,1.0578953987061728,30.000004655075998,5.208423595478484e-12,0,51.11071503999376,128.89564293205822,3.1932370286479155,269.5695663764292,89.80781450524523,89.99525077681255
