"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, -2.268000000000000e-02, 2.000000000000000e-02, 3.776945300201036e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.593714445890524e+07, 1.000000000000000e-10, 2.347165501965968e+10
1, 1.250200000000000e-01, 5.477226000000000e-02, 2.979249745552769e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.189760582004999e+05, 1.000000000000000e-10, 3.208664797950057e+12
730, 1.247592264357035e-01, 5.472614609981309e-02, 2.981901784012091e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.191182677644516e+05, 1.000000000000000e-10, 3.202892701034653e+12
731, 1.244984551723221e-01, 5.468001867917841e-02, 2.987105117791598e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.194953706113135e+05, 1.000000000000000e-10, 3.195430268661580e+12
732, 1.242377096557596e-01, 5.463374559995363e-02, 2.992278946310445e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.198700566710094e+05, 1.000000000000000e-10, 3.188062705116498e+12
733, 1.239769889766657e-01, 5.458732363764015e-02, 2.997489822566102e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.202474451423569e+05, 1.000000000000000e-10, 3.180601437721076e+12
734, 1.237162917546814e-01, 5.454077812060126e-02, 3.002740114362838e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.206277312151619e+05, 1.000000000000000e-10, 3.173136410863969e+12
735, 1.234556163013989e-01, 5.449411137960169e-02, 3.008018883908043e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.210100731101009e+05, 1.000000000000000e-10, 3.165692193949051e+12
736, 1.231949626618069e-01, 5.444732278551007e-02, 3.013323900756235e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.213942982016837e+05, 1.000000000000000e-10, 3.158283030318579e+12
737, 1.229343315638529e-01, 5.440040898697789e-02, 3.018655052521758e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.217803946571858e+05, 1.000000000000000e-10, 3.150903574237792e+12
738, 1.226737235001168e-01, 5.435336802870325e-02, 3.024014536332285e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.221685285111502e+05, 1.000000000000000e-10, 3.143539903612586e+12
739, 1.224131383330425e-01, 5.430620073915140e-02, 3.029403330816244e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.225587749216410e+05, 1.000000000000000e-10, 3.136194437400108e+12
740, 1.221525760309599e-01, 5.425890712603065e-02, 3.034820879784417e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.229510907319276e+05, 1.000000000000000e-10, 3.128870679310890e+12
741, 1.218920368017264e-01, 5.421148654073917e-02, 3.040267769550508e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.233455188139808e+05, 1.000000000000000e-10, 3.121562575416076e+12
742, 1.216315145556244e-01, 5.416393854593850e-02, 3.045744959022857e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.237421318014747e+05, 1.000000000000000e-10, 3.114267347447388e+12
743, 1.213710210391867e-01, 5.411626636498262e-02, 3.051251681070500e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.241408721626732e+05, 1.000000000000000e-10, 3.106992524980570e+12
