x_m,r_m,pressure_pa,pressure_over_pc,cf_t,yplus
0.08959384,0.04722372,51885.22,0.009977926923076924,28.123338154554407,0.01650353
0.08982388,0.04728207,51885.47,0.009977975,28.127544421622257,0.01650479
0.09005392,0.04734029,51885.72,0.009978023076923076,28.131642938050735,0.01650601
0.09028396,0.04739837,51885.97,0.009978071153846154,28.135641402670366,0.01650721
0.090514,0.04745631,51886.22,0.00997811923076923,28.139638448906556,0.0165084
0.09074404,0.04751413,51886.47,0.009978167307692309,28.14363906442559,0.0165096
0.09097408,0.0475718,51886.72,0.009978215384615385,28.147647513037676,0.0165108
0.09120412,0.04762935,51886.96,0.009978261538461538,28.151627100155913,0.01651199
0.09143416,0.04768676,51887.21,0.009978309615384616,28.15558136162188,0.01651318
0.0916642,0.04774403,51887.46,0.009978357692307692,28.15948961363979,0.01651435
0.09189424,0.04780118,51887.71,0.009978405769230769,28.163416582970324,0.01651552
0.09212428,0.04785819,51887.95,0.009978451923076923,28.167364447791,0.0165167
0.09235432,0.04791506,51888.2,0.0099785,28.17128472059815,0.01651788
0.09258436,0.04797181,51888.45,0.009978548076923076,28.175200337640476,0.01651905
0.0928144,0.04802842,51888.7,0.009978596153846154,28.179116097553973,0.01652022
0.09304444,0.04808489,51888.94,0.009978642307692309,28.183014141408428,0.01652138
0.09327448,0.04814124,51889.18,0.009978688461538461,28.18683980603529,0.01652253
0.09350452,0.04819746,51889.42,0.009978734615384614,28.19056801283586,0.01652365
0.09373456,0.04825355,51889.67,0.009978782692307692,28.194292294374357,0.01652476
0.0939646,0.0483095,51889.91,0.009978828846153847,28.198132818284208,0.01652591
0.09419464,0.04836532,51890.16,0.009978876923076923,28.202035084787916,0.01652708
0.09442468,0.04842101,51890.4,0.009978923076923078,28.20586656716179,0.01652822
0.09465472,0.04847657,51890.64,0.00997896923076923,28.20956231320556,0.01652933
0.09488476,0.04853201,51890.88,0.009979015384615384,28.21317715671215,0.01653041
0.0951148,0.04858732,51891.12,0.009979061538461538,28.21684583317076,0.01653151
0.09534484,0.04864249,51891.36,0.009979107692307693,28.220587202417267,0.01653263
0.09557488,0.04869754,51891.61,0.00997915576923077,28.224308519828448,0.01653374
0.09580492,0.04875246,51891.85,0.009979201923076922,28.228005673536888,0.01653485
0.09603496,0.04880725,51892.09,0.009979248076923077,28.231696435152667,0.01653595
0.096265,0.04886191,51892.33,0.009979294230769232,28.235368196295333,0.01653705
0.09649504,0.04891644,51892.56,0.009979338461538461,28.23899223222264,0.01653813
0.09672508,0.04897084,51892.8,0.009979384615384616,28.242562634208635,0.0165392
0.09695512,0.04902512,51893.04,0.009979430769230769,28.24611550212667,0.01654027
0.09718516,0.04907928,51893.27,0.009979475,28.24970006289708,0.01654134
0.0974152,0.0491333,51893.51,0.009979521153846154,28.253262061996093,0.0165424
0.09764524,0.04918721,51893.75,0.009979567307692307,28.256811556428886,0.01654346
0.09787528,0.04924098,51893.98,0.009979611538461539,28.26037230060803,0.01654453
0.09810532,0.04929463,51894.22,0.009979657692307693,28.263913560111373,0.01654559
0.09833536,0.04934815,51894.45,0.009979701923076923,28.267427309634673,0.01654664
0.0985654,0.04940155,51894.69,0.009979748076923077,28.27091750397021,0.01654768
0.09879544,0.04945482,51894.92,0.009979792307692307,28.27436845562933,0.01654872
0.09902548,0.04950797,51895.16,0.009979838461538462,28.27783222162094,0.01654975
0.09925552,0.049561,51895.39,0.009979882692307693,28.28131605755335,0.01655079
0.09948556,0.04961389,51895.62,0.009979926923076924,28.284789063615296,0.01655183
0.0997156,0.04966667,51895.86,0.009979973076923077,28.288215896533238,0.01655286
0.09994564,0.04971932,51896.09,0.009980017307692306,28.291607611428407,0.01655387
0.1001757,0.04977185,51896.32,0.009980061538461538,28.294978433261747,0.01655488
0.1004057,0.04982426,51896.55,0.00998010576923077,28.298347178448395,0.01655589
0.1006358,0.04987655,51896.78,0.00998015,28.301696310091387,0.01655689
0.1008658,0.04992871,51897.01,0.009980194230769231,28.305009634601223,0.01655788
0.1010958,0.04998075,51897.24,0.009980238461538461,28.308364739930283,0.01655888
0.1013259,0.05003267,51897.47,0.009980282692307692,28.311742458301968,0.0165599
0.1015559,0.05008446,51897.7,0.009980326923076923,28.315100584628222,0.0165609
0.101786,0.05013614,51897.93,0.009980371153846155,28.31839875305391,0.01656188
0.102016,0.05018769,51898.15,0.009980413461538462,28.321644135632038,0.01656285
0.102246,0.05023913,51898.38,0.009980457692307692,28.32489055462622,0.01656383
0.1024761,0.05029044,51898.61,0.009980501923076923,28.32816459255018,0.01656481
0.1027061,0.05034163,51898.84,0.009980546153846153,28.331448852990913,0.01656579
0.1029362,0.0503927,51899.06,0.00998058846153846,28.33470199902585,0.01656676
0.1031662,0.05044365,51899.29,0.009980632692307692,28.337926497619364,0.01656772
0.1033962,0.05049448,51899.52,0.009980676923076923,28.341117748366617,0.01656868
0.1036263,0.05054519,51899.74,0.00998071923076923,28.344303658398413,0.01656963
0.1038563,0.05059579,51899.96,0.009980761538461539,28.347466454277882,0.01657058
0.1040864,0.05064627,51900.19,0.00998080576923077,28.350582876442317,0.01657151
0.1043164,0.05069663,51900.41,0.009980848076923078,28.353727049762934,0.01657245
0.1045464,0.05074687,51900.64,0.009980892307692307,28.356901116786087,0.0165734
0.1047765,0.05079699,51900.86,0.009980934615384615,28.360056863864653,0.01657434
0.1050065,0.05084699,51901.09,0.009980978846153845,28.363196988438265,0.01657528
0.1052366,0.05089687,51901.31,0.009981021153846154,28.36634612845721,0.01657623
0.1054666,0.05094663,51901.53,0.009981063461538462,28.369474821981925,0.01657716
0.1056966,0.05099628,51901.76,0.009981107692307693,28.372564142231525,0.01657809
0.1059267,0.05104581,51901.97,0.009981148076923078,28.375598881617695,0.01657899
0.1061567,0.05109523,51902.19,0.009981190384615386,28.378622391598512,0.0165799
0.1063868,0.05114453,51902.41,0.009981232692307693,28.381649458102974,0.0165808
0.1066168,0.05119371,51902.63,0.009981275,28.384679825728988,0.01658171
0.1068468,0.05124278,51902.85,0.009981317307692307,28.3876970316561,0.01658261
0.1070769,0.05129174,51903.07,0.009981359615384615,28.390698474961617,0.01658351
0.1073069,0.05134058,51903.29,0.009981401923076923,28.39365807669654,0.01658439
