x,r,cf_t,pressure_pa,yplus
0.1587645,0.1719158,2.130709667399879,97454.9,0.08977908
0.1597506,0.1728364,2.1181775935554024,97458.97,0.09044925
0.1607367,0.1737469,2.105845852058972,97462.98,0.09112786
0.1617228,0.174647,2.093863719416009,97467.01,0.09181833
0.1627089,0.1755366,2.083273261534758,97471.15,0.09254407
0.163695,0.1764155,2.073435157164244,97475.46,0.09329183
0.1646811,0.1772835,2.0638527447555757,97479.97,0.09405082
0.1656673,0.1781404,2.0544652251124123,97484.71,0.09481985
0.1666534,0.178986,2.0452871505677988,97489.66,0.09559925
0.1676395,0.1798201,2.036383117248769,97494.83,0.09639062
0.1686256,0.1806425,2.0280363972092834,97500.21,0.09720083
0.1696117,0.181453,2.0215352794464785,97505.83,0.09806148
0.1705978,0.1822514,2.0153861973385103,97511.69,0.09893734
0.171584,0.1830375,2.009342939219193,97517.82,0.09982242
0.1725701,0.1838112,2.0033581736171326,97524.28,0.1007154
0.1735562,0.1845722,1.9974186595657824,97531.08,0.1016158
0.1745423,0.1853203,1.9915621131237369,97538.26,0.1025242
0.1755284,0.1860554,1.9861419997699028,97545.72,0.1034496
0.1765145,0.1867772,1.9821440217923063,97553.46,0.1044181
0.1775006,0.1874856,1.9790299504522713,97561.45,0.105416
0.1784868,0.1881804,1.9760481701487824,97569.71,0.1064234
0.1794729,0.1888613,1.9729991447701178,97578.21,0.1074347
0.180459,0.1895281,1.969818502459722,97587.02,0.1084473
0.1814451,0.1901808,1.9666153593629643,97596.19,0.1094635
0.1824312,0.190819,1.963601419566515,97605.74,0.1104887
0.1834173,0.1914426,1.9610335037211035,97615.69,0.1115296
0.1844034,0.1920514,1.9591731613079657,97626.15,0.1125932
0.1853896,0.1926452,1.9573452188992675,97637.09,0.1136596
0.1863757,0.1932238,1.9551934055664622,97648.33,0.1147174
0.1873618,0.1937869,1.9530550713486994,97659.88,0.1157751
0.1883479,0.1943345,1.951436944053974,97671.89,0.1168469
0.189334,0.1948664,1.949941979152369,97684.43,0.1179198
0.1903201,0.1953822,1.948368043069099,97697.46,0.1189864
0.1913062,0.1958819,1.9465876918846945,97710.99,0.1200412
0.1922924,0.1963651,1.9445750053861057,97725.09,0.1210815
