x_m,r_m,pressure_pa,pressure_over_pc,tau_wall_pa,su2_cf_t,yplus
-0.02268,0.02,5179409.0,0.9960401923076924,1934.1116695787225,12415.801889252773,0.3873211
-0.02258069,0.01999946,5176086.0,0.9954011538461538,1070.4772833402674,6871.802743319987,0.2878331
-0.0224814,0.01999803,5177268.0,0.9956284615384615,730.8779234984199,4691.784681368149,0.2376035
-0.02238212,0.01999557,5177973.0,0.9957640384615385,588.6327407038713,3778.658496848336,0.2130499
-0.02228287,0.01999211,5177619.0,0.9956959615384615,504.14583603175817,3236.304770771278,0.1969639
-0.02218367,0.01998767,5177134.0,0.9956026923076923,456.4827808327924,2930.3374059625153,0.1872506
-0.02208451,0.01998225,5176781.0,0.9955348076923077,429.83968540362065,2759.3051952747505,0.1815167
-0.02198541,0.01997585,5176657.0,0.9955109615384615,418.3551749410527,2685.5817340387443,0.1789011
-0.02188638,0.01996846,5176559.0,0.9954921153846154,416.4856183913218,2673.580336132247,0.1783073
-0.02178742,0.01996008,5176533.0,0.9954871153846154,419.400655475596,2692.293073099527,0.1786874
-0.02168856,0.01995073,5176490.0,0.9954788461538462,425.34930574339546,2730.4797323266725,0.1796831
-0.02158979,0.0199404,5176490.0,0.9954788461538462,433.25568100023764,2781.23377636407,0.1810418
-0.02149113,0.01992908,5176482.0,0.9954773076923077,442.7973676102436,2842.485508879067,0.1826958
-0.02139259,0.01991678,5176516.0,0.9954838461538461,453.15354188303354,2908.9657489417013,0.1844382
-0.02129417,0.01990351,5176559.0,0.9954921153846154,463.4184073883717,2974.859843134237,0.186107
-0.02119589,0.01988926,5176616.0,0.9955030769230769,472.94680609248957,3036.02627550363,0.1875727
-0.02109776,0.01987403,5176696.0,0.9955184615384616,483.64057694544044,3104.6736770201223,0.1892196
-0.02099978,0.01985783,5176780.0,0.9955346153846154,492.4052067352782,3160.937184869683,0.1904196
-0.02090197,0.01984066,5176908.0,0.9955592307692308,501.0326275865365,3216.31989611084,0.1915459
-0.02080434,0.01982252,5177011.0,0.9955790384615385,509.51645769280105,3270.7808434895414,0.1926054
-0.02070689,0.01980341,5177182.0,0.995611923076923,517.1624743900867,3319.8635464423105,0.1934623
-0.02060963,0.01978333,5177309.0,0.9956363461538461,524.6200504844334,3367.736577155994,0.19423
-0.02051258,0.01976229,5177507.0,0.9956744230769231,531.7556131332541,3413.542480511826,0.1948984
-0.02041574,0.01974028,5177647.0,0.9957013461538462,538.6712981441258,3457.9369052878064,0.1954961
-0.02031912,0.01971732,5177864.0,0.995743076923077,543.7013048137628,3490.2264402170053,0.1957097
-0.02022274,0.01969339,5178006.0,0.9957703846153846,550.4593766898004,3533.609086051767,0.1961904
-0.0201266,0.01966851,5178229.0,0.9958132692307692,557.0377104727684,3575.8379243837853,0.196605
-0.02003071,0.01964268,5178372.0,0.9958407692307693,560.9818561532591,3601.156902683518,0.1965175
-0.01993509,0.0196159,5178571.0,0.9958790384615385,567.4261806218897,3642.5254840178163,0.1968395
-0.01983973,0.01958816,5178697.0,0.9959032692307692,573.1496071225073,3679.2663458186476,0.1969898
-0.01974466,0.01955948,5178862.0,0.995935,578.5660451796659,3714.036531491401,0.1970502
-0.01964987,0.01952986,5178952.0,0.9959523076923077,584.3736886600508,3751.3180142671986,0.1971475
-0.01955538,0.0194993,5179063.0,0.9959736538461539,590.7566744914003,3792.2928394494515,0.1973082
-0.0194612,0.01946781,5179112.0,0.995983076923077,596.3788280036188,3828.3835912382947,0.1972922
-0.01936734,0.01943538,5179171.0,0.9959944230769231,601.6707649260482,3862.3545565515933,0.1971798
-0.01927381,0.01940202,5179163.0,0.9959928846153846,608.7842731450809,3908.0188840949554,0.1973366
-0.01918061,0.01936772,5179143.0,0.9959890384615384,616.1915355082616,3955.568931741895,0.1975018
-0.01908775,0.01933251,5179061.0,0.9959732692307692,623.6370542172676,4003.3645614915877,0.1976227
-0.01899525,0.01929638,5178964.0,0.9959546153846154,631.222906018775,4052.0610429875405,0.1977222
-0.01890312,0.01925933,5178791.0,0.9959213461538462,638.5586664562396,4099.152092450273,0.1977415
-0.01881135,0.01922136,5178585.0,0.9958817307692308,647.2834316558617,4155.15969426178,0.1979339
-0.01871997,0.01918249,5178294.0,0.9958257692307693,656.1954345799614,4212.369246575874,0.1981013
-0.01862898,0.01914271,5177956.0,0.9957607692307693,665.0067098406624,4268.9321895275425,0.198205
-0.01853839,0.01910203,5177519.0,0.9956767307692308,673.3243824203074,4322.326508249085,0.1981879
-0.0184482,0.01906045,5177022.0,0.9955811538461539,681.5746243192701,4375.287963664038,0.198117
-0.01835843,0.01901799,5176408.0,0.9954630769230769,688.8420941464307,4421.940629603333,0.197871
-0.01826909,0.01897463,5175696.0,0.9953261538461539,693.9791923469525,4454.917625992175,0.1972716
-0.01818019,0.01893038,5174820.0,0.9951576923076924,699.3014158737784,4489.083012592518,0.1966373
-0.01809173,0.01888525,5173836.0,0.9949684615384615,702.408316683834,4509.027396132487,0.1956572
-0.01800372,0.01883925,5172686.0,0.9947473076923077,703.203431002167,4514.131538778957,0.1942956
-0.01791617,0.01879238,5171612.0,0.9945407692307693,706.1894721048128,4533.300077672935,0.1932112
-0.01782909,0.01874464,5170374.0,0.9943026923076923,726.6734771975534,4664.794733917529,0.194601
-0.01774245,0.01869611,5168674.0,0.9939757692307692,719.8136919185599,4620.759150881444,0.1920439
-0.01765635,0.01864663,5166952.0,0.9936446153846153,889.1160503306118,5707.575685050411,0.212786
-0.01757033,0.01859701,5164630.0,0.9931980769230769,958.4288710324948,6152.5211676488,0.2203837
-0.01748433,0.01854735,5162456.0,0.99278,981.0982160624868,6298.044356034712,0.2224545
-0.01739833,0.01849767,5160148.0,0.9923361538461538,989.8205731116083,6354.03649900793,0.2229364
-0.01731234,0.018448,5158080.0,0.9919384615384615,986.0238087909979,6329.663617976117,0.2219743
-0.01722634,0.01839834,5155878.0,0.991515,978.103798298607,6278.822044151299,0.2205392
-0.01714034,0.01834869,5153743.0,0.991104423076923,967.7140730043963,6212.126427261311,0.2187757
-0.01705434,0.01829904,5151488.0,0.9906707692307692,960.7225055116161,6167.244883836982,0.2173954
-0.01696833,0.01824939,5149229.0,0.9902363461538461,955.6938898978896,6134.964278627237,0.2162328
-0.01688233,0.01819973,5146858.0,0.9897803846153846,952.7871498295262,6116.304803375628,0.2153105
-0.01679633,0.01815008,5144433.0,0.9893140384615384,951.5336501518475,6108.258109944689,0.2145917
-0.01671032,0.01810043,5141900.0,0.9888269230769231,951.670762897427,6109.138289053467,0.214029
-0.01662432,0.01805078,5139289.0,0.9883248076923077,953.0788811291384,6118.17753806714,0.213629
-0.01653832,0.01800113,5136564.0,0.9878007692307692,955.4072095786883,6133.123968109113,0.21333
-0.01645231,0.01795147,5133741.0,0.9872578846153847,958.6555930716024,6153.97658305514,0.2131476
-0.01636631,0.01790182,5130796.0,0.9866915384615385,962.5359965620521,6178.886375879192,0.2130318
-0.0162803,0.01785217,5127741.0,0.9861040384615385,967.0399040789696,6207.798679308778,0.2129916
-0.0161943,0.01780252,5124560.0,0.9854923076923077,971.9710873010137,6239.453828764467,0.212993
-0.0161083,0.01775287,5121259.0,0.9848575,977.4187993210091,6274.424773955392,0.2130522
-0.01602229,0.01770322,5117829.0,0.9841978846153846,983.2160762653182,6311.639709974754,0.213143
-0.01593629,0.01765357,5114274.0,0.9835142307692307,989.4770140762179,6351.831062275521,0.2132815
-0.01585028,0.01760391,5110588.0,0.9828053846153846,996.0312805934176,6393.905403631746,0.2134448
-0.01576428,0.01755426,5106770.0,0.9820711538461538,1002.9611427918232,6438.390837192036,0.2136434
-0.01567828,0.01750461,5102807.0,0.9813090384615385,1010.1862995024866,6484.771879067421,0.2138656
-0.01559227,0.01745496,5098723.0,0.9805236538461538,1017.5910311120317,6532.305680839697,0.2141002
-0.01550627,0.01740531,5094517.0,0.9797148076923077,1024.8942766442979,6579.188004701036,0.2143164
-0.01542027,0.01735565,5090178.0,0.9788803846153846,1032.4643012011848,6627.782885065705,0.2145527
-0.01533426,0.017306,5085712.0,0.9780215384615385,1040.3161429590675,6678.186857734392,0.2148097
-0.01524826,0.01725635,5081121.0,0.9771386538461538,1048.3645776973997,6729.8528358686735,0.2150781
-0.01516226,0.0172067,5076399.0,0.9762305769230769,1056.5050524461824,6782.109654001292,0.2153468
-0.01507625,0.01715704,5071547.0,0.9752975,1064.8480728034638,6835.66668979363,0.2156265
-0.01499025,0.01710739,5066570.0,0.9743403846153846,1073.36781922413,6890.35819771918,0.215915
-0.01490425,0.01705774,5061473.0,0.9733601923076923,1082.257981961109,6947.427549526354,0.2162313
-0.01481824,0.01700808,5056255.0,0.9723567307692308,1091.2770041146973,7005.324099169801,0.2165513
-0.01473224,0.01695843,5050923.0,0.9713313461538462,1100.5242584277273,7064.685758259075,0.2168842
-0.01464624,0.01690878,5045474.0,0.9702834615384616,1109.840379007209,7124.489496228574,0.2172142
-0.01456024,0.01685912,5039917.0,0.9692148076923077,1119.218232089552,7184.689518723784,0.2175396
-0.01447423,0.01680947,5034249.0,0.9681248076923077,1128.6939427017585,7245.517726097494,0.2178642
-0.01438823,0.01675982,5028481.0,0.9670155769230769,1138.3712702779476,7307.640189806912,0.2181977
-0.01430223,0.01671017,5022606.0,0.9658857692307692,1148.1727516601827,7370.559644240242,0.2185326
-0.01421622,0.01666052,5016639.0,0.9647382692307692,1158.221197463528,7435.06445766521,0.2188801
-0.01413022,0.01661086,5010570.0,0.9635711538461539,1168.440836656924,7500.668226879055,0.2192336
-0.01404421,0.01656121,5004419.0,0.9623882692307693,1178.8393547686435,7567.420288224634,0.2195929
-0.01395821,0.01651156,4998171.0,0.9611867307692308,1189.3336134403698,7634.786944810241,0.2199505
-0.01387221,0.01646191,4991852.0,0.9599715384615385,1199.9901385004637,7703.195251349647,0.2203122
-0.0137862,0.01641226,4985446.0,0.9587396153846154,1210.740260873609,7772.204394807878,0.2206718
-0.0137002,0.0163626,4978978.0,0.9574957692307692,1221.6344128632697,7842.138119412568,0.2210334
-0.0136142,0.01631295,4972433.0,0.9562371153846154,1232.6587194997467,7912.907356431176,0.2213962
-0.01352819,0.0162633,4965838.0,0.9549688461538461,1243.8440881952497,7984.710512353328,0.2217626
-0.01344219,0.01621365,4959179.0,0.9536882692307692,1255.1108370631503,8057.036078699911,0.2221258
-0.01335619,0.016164,4952479.0,0.9523998076923077,1266.4954225686154,8130.118083451944,0.2224886
-0.01327018,0.01611434,4945731.0,0.9511021153846154,1277.9320555840504,8203.534201059392,0.2228456
-0.01318418,0.01606469,4938953.0,0.9497986538461538,1289.3732508955854,8276.979605788896,0.2231921
-0.01309817,0.01601504,4932144.0,0.9484892307692308,1300.8600384837002,8350.717684763946,0.223532
-0.01301217,0.01596539,4925317.0,0.9471763461538462,1312.4426967940492,8425.071194540102,0.2238694
-0.01292617,0.01591574,4918475.0,0.9458605769230769,1324.0937096365928,8499.863498178738,0.2242025
-0.01284016,0.01586609,4911628.0,0.9445438461538461,1335.9508951301432,8575.979302848957,0.2245426
-0.01275416,0.01581644,4904786.0,0.943228076923077,1347.881285632901,8652.565038447112,0.2248794
-0.01266816,0.01576678,4897951.0,0.9419136538461539,1359.9335740427634,8729.933283291828,0.225216
-0.01258215,0.01571713,4891139.0,0.9406036538461539,1372.017735890047,8807.50613591115,0.225546
-0.01249615,0.01566748,4884349.0,0.9392978846153847,1384.1927442030224,8885.662166708913,0.2258734
-0.01241015,0.01561783,4877602.0,0.9380003846153846,1396.3627070505456,8963.785808735915,0.2261912
-0.01232414,0.01556818,4870893.0,0.9367101923076923,1408.6352353387376,9042.567857519909,0.2265074
-0.01223814,0.01551852,4864245.0,0.9354317307692308,1420.957403213812,9121.66856178088,0.2268189
-0.01215213,0.01546887,4857654.0,0.9341642307692307,1433.4125264568438,9201.622757355011,0.2271314
-0.01206613,0.01541922,4851142.0,0.932911923076923,1445.906796458025,9281.828250928858,0.2274385
-0.01198013,0.01536957,4844704.0,0.9316738461538462,1458.5678681809516,9363.104508494544,0.2277497
-0.01189412,0.01531992,4838366.0,0.930455,1471.2087262733244,9444.251007041468,0.2280509
-0.01180812,0.01527026,4832121.0,0.9292540384615384,1483.9157888933569,9525.82249775018,0.2283481
-0.01172212,0.01522061,4825995.0,0.9280759615384615,1496.6676939227339,9607.681849020108,0.2286406
